paper_id,primary_category,year,total_token_count,matched_token_count,coverage,mean_happiness
2604.2153,cs.CV,2026,161,115,0.7142857142857143,5.535217391304349
2604.21529,cs.MA,2026,173,143,0.8265895953757225,5.344755244755246
2604.21515,cs.AI,2026,144,89,0.6180555555555556,5.4539325842696655
2604.21508,cs.AI,2026,240,163,0.6791666666666667,5.509447852760741
2604.21957,cs.IT,2026,184,116,0.6304347826086957,5.574827586206897
2604.21501,cs.AI,2026,204,133,0.6519607843137255,5.361278195488724
2604.21496,cs.AI,2026,180,130,0.7222222222222222,5.433307692307692
2604.21495,cs.LG,2026,177,114,0.6440677966101694,5.419210526315795
2604.21489,cs.RO,2026,191,125,0.6544502617801047,5.341760000000006
2604.2148,cs.AI,2026,177,122,0.6892655367231638,5.398770491803283
2604.21473,cs.LG,2026,227,160,0.7048458149779736,5.368250000000004
2604.21464,cs.LG,2026,142,100,0.704225352112676,5.447500000000002
2604.21454,cs.CL,2026,237,194,0.8185654008438819,5.4698453608247455
2604.2145,cs.CV,2026,208,131,0.6298076923076923,5.388778625954201
2604.21446,cs.AI,2026,133,102,0.7669172932330827,5.660784313725492
2604.21444,cs.AI,2026,186,125,0.6720430107526881,5.479200000000004
2604.2143,cs.AI,2026,154,115,0.7467532467532467,5.481043478260874
2604.21421,cs.CR,2026,177,133,0.751412429378531,5.461278195488727
2604.2142,cs.AI,2026,184,123,0.6684782608695652,5.520650406504068
2604.21416,cs.CR,2026,230,158,0.6869565217391305,5.2312025316455735
2604.21414,cs.AI,2026,105,62,0.5904761904761905,5.4793548387096775
2604.21396,cs.CV,2026,194,133,0.6855670103092784,5.5516541353383495
2604.21395,cs.LG,2026,275,187,0.68,5.130588235294117
2604.21391,cs.RO,2026,158,101,0.6392405063291139,5.487029702970298
2604.2138,cs.SE,2026,145,111,0.7655172413793103,5.3859459459459496
2604.21375,cs.CL,2026,263,194,0.7376425855513308,5.502164948453612
2604.21365,cs.LG,2026,131,106,0.8091603053435115,5.4074528301886815
2604.21361,cs.AI,2026,194,152,0.7835051546391752,5.21276315789474
2604.21357,cs.AI,2026,139,91,0.6546762589928058,5.503406593406596
2604.21349,cs.CV,2026,265,182,0.6867924528301886,5.361318681318685
2604.21346,cs.AI,2026,182,145,0.7967032967032966,5.46586206896552
2604.21345,cs.AI,2026,226,144,0.6371681415929203,5.39972222222223
2604.21344,cs.CL,2026,123,85,0.6910569105691057,5.590470588235298
2604.21334,cs.AI,2026,198,140,0.7070707070707071,5.350214285714289
2604.21327,cs.LG,2026,184,124,0.6739130434782609,5.5575
2604.21326,cs.CV,2026,198,132,0.6666666666666666,5.34416666666667
2604.21312,cs.CV,2026,151,116,0.7682119205298014,5.574137931034486
2604.2131,cs.CR,2026,178,125,0.702247191011236,5.541200000000002
2604.21952,cs.LG,2026,200,130,0.65,5.525076923076927
2604.21291,cs.CV,2026,190,137,0.7210526315789474,5.609708029197086
2604.21286,cs.CL,2026,242,164,0.6776859504132231,5.277195121951223
2604.21284,cs.AI,2026,247,188,0.7611336032388664,5.4622872340425594
2604.21277,cs.AI,2026,131,91,0.6946564885496184,5.460329670329672
2604.21276,cs.CL,2026,241,149,0.6182572614107884,5.387651006711412
2604.21268,cs.LG,2026,208,133,0.6394230769230769,5.391428571428576
2604.21264,cs.AI,2026,150,106,0.7066666666666667,5.532547169811324
2604.21263,cs.AI,2026,256,189,0.73828125,5.342010582010584
2604.2126,stat.ML,2026,239,158,0.6610878661087866,5.468734177215193
2604.21256,cs.AI,2026,273,202,0.73992673992674,5.3684653465346575
2604.21253,cs.CL,2026,143,104,0.7272727272727273,5.457211538461542
2604.21251,cs.LG,2026,153,97,0.6339869281045751,5.421546391752581
2604.21241,cs.RO,2026,167,122,0.7305389221556886,5.478360655737706
2604.21232,cs.AI,2026,176,115,0.6534090909090909,5.279652173913046
2604.21231,cs.NI,2026,151,91,0.6026490066225165,5.371648351648356
2604.21229,cs.CL,2026,154,101,0.6558441558441559,5.502475247524756
2604.21223,cs.CL,2026,125,94,0.752,5.607553191489363
2604.21216,econ.TH,2026,149,117,0.785234899328859,5.33666666666667
2604.21214,cs.DB,2026,192,141,0.734375,5.489290780141849
2604.21209,cs.AI,2026,259,199,0.7683397683397684,5.607487437185936
2604.21204,cs.CL,2026,216,168,0.7777777777777778,5.526726190476194
2604.21193,cs.AI,2026,214,150,0.7009345794392523,5.494266666666671
2604.2275,cs.CL,2026,276,218,0.7898550724637681,5.417201834862384
2604.22749,cs.CL,2026,239,168,0.702928870292887,5.485535714285719
2604.2273,cs.LG,2026,207,134,0.6473429951690821,5.562164179104483
2604.22723,cs.LG,2026,158,93,0.5886075949367089,5.5580645161290345
2604.22709,cs.CL,2026,217,158,0.728110599078341,5.534556962025319
2604.22678,cs.CL,2026,266,202,0.7593984962406015,5.4012376237623805
2604.22661,cs.IR,2026,203,127,0.625615763546798,5.389448818897643
2604.22631,cs.CL,2026,234,175,0.7478632478632479,5.320057142857147
2604.22626,cs.CL,2026,251,179,0.7131474103585658,5.349720670391066
2604.22606,cs.CL,2026,170,121,0.711764705882353,5.483223140495871
2604.22555,cs.CL,2026,207,150,0.7246376811594203,5.405200000000006
2604.2252,cs.CL,2026,191,143,0.7486910994764397,5.391608391608394
2604.22517,cs.CL,2026,210,153,0.7285714285714285,5.475490196078433
2604.22503,cs.CL,2026,220,179,0.8136363636363636,5.562290502793302
2604.22374,cs.CL,2026,190,129,0.6789473684210526,5.4451162790697705
2604.22345,cs.CL,2026,198,138,0.696969696969697,5.586884057971018
2604.22335,cs.CL,2026,177,114,0.6440677966101694,5.441403508771932
2604.22325,cs.CL,2026,196,155,0.7908163265306123,5.509935483870967
2604.22313,cs.CL,2026,160,102,0.6375,5.411666666666668
2604.22282,cs.CL,2026,173,115,0.6647398843930635,5.5417391304347845
2604.22266,cs.CL,2026,196,164,0.8367346938775511,5.462987804878052
2604.22261,cs.CL,2026,152,104,0.6842105263157895,5.4676923076923085
2604.22225,cs.CL,2026,129,78,0.6046511627906976,5.537179487179488
2604.22193,cs.CL,2026,204,165,0.8088235294117647,5.527818181818188
2604.22191,cs.CR,2026,191,135,0.7068062827225131,5.39303703703704
2604.22166,cs.CL,2026,158,111,0.7025316455696202,5.498468468468472
2604.22143,cs.CY,2026,218,166,0.7614678899082569,5.32367469879518
2604.22142,cs.CL,2026,240,173,0.7208333333333333,5.409884393063588
2604.22134,cs.CL,2026,138,90,0.6521739130434783,5.5533333333333355
2604.22128,cs.CL,2026,167,127,0.7604790419161677,5.38188976377953
2604.22127,cs.CL,2026,155,96,0.6193548387096774,5.406770833333334
2604.22098,cs.CL,2026,137,100,0.7299270072992701,5.580700000000003
2604.22095,cs.CL,2026,100,69,0.69,5.596666666666669
